ID;Level name;Level description;Main type;Background;Bird lvl;Min enemies;Max enemies;Is boss?;Battles (read only);Has obstacles;Has scared powerups;Has friendly powerups;Has confident powerups;Has lonely powerups;Has health powerups;Has DMG powerups;targets(read only);Has wizards;Has drills;Bird to add;First complete event(read only);First complete dialogue(read only);Is trial
-380;Unknown lands; ;Social;0;2;3;4;True;Social, Social, Social, Rando/neutral, Social, Social, ;True;False;False;False;True;False;False;;False;False;none;none;none;True
-370;Unknown lands; ;Social;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;solconf trial, ;False;False;none;none;none;False
-360;Unknown lands; ;Confident;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;almost final, ;False;False;none;none;none;False
-350;Unknown lands; ;Cautious;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;l_3, ;False;False;none;none;none;False
-340;Unknown lands; ;Confident;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;l_2, ;False;False;none;none;none;False
-330;Unknown lands; ;Cautious;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;almost final, ;False;False;none;none;none;False
-320;Unknown lands; ;Solitary;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;r_3, ;False;False;none;none;none;False
-310;Unknown lands; ;Social;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;r_2, ;False;False;none;none;none;False
-300;Unknown lands;A blooming field, offering you three paths;Random;0;2;2;4;False;Rando, Rando, ;True;False;False;False;True;False;False;r_1, l_1, ;False;False;none;none;none;False
-250;Unknown lands; ;Cautious;0;2;3;4;False;lonely, lonely, lonely, Brave, Brave, Brave, ;True;True;False;False;False;False;False;;False;True;none;none;none;True
-240;Unknown lands; ;Cautious;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;solconf trial, ;False;False;none;none;none;False
-230;Unknown lands; ;Confident;0;2;3;4;False;Brave, Brave, ;True;False;False;False;True;False;False;left2, ;False;False;none;none;none;False
-220;Unknown lands; ;Confident;0;3;3;4;False;Brave, Brave, ;True;False;False;False;True;False;True;solconf trial, ;False;False;none;none;none;False
-210;Unknown lands; ;Cautious;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;right2, ;False;False;none;none;none;False
